plane,assignment,amp,amp_err
0,dsRNA,151799901.9,1188396.901
1,dsRNA,115133348,1020748.277
2,dsRNA,91294400.44,1012255.396
3,dsRNA,78640249.56,925094.2516
4,dsRNA,72807733.08,1130121.578
5,dsRNA,59764751.09,993058.989
6,dsRNA,56739651.68,1000182.226
7,dsRNA,54342544.43,1062585.489
8,dsRNA,55451670.82,1013878.663
9,dsRNA,45639408.66,890653.5839
10,dsRNA,51613834.2,1033483.815
11,dsRNA,43411895.41,1092391.015
12,dsRNA,45321450.13,1027398.425
13,dsRNA,41927569.21,988684.0173
14,dsRNA,43451612.91,1004615.325
15,dsRNA,43679930.4,1023532.89
0,ssRNA,416390160.4,2284778.218
1,ssRNA,371200453,2228991.833
2,ssRNA,348770444.9,2150324.148
3,ssRNA,321434128.8,2063262.541
4,ssRNA,310732590.2,2020271.769
5,ssRNA,302069477.7,2050114.41
6,ssRNA,294875909.5,1770955.426
7,ssRNA,292409281,1984656.695
8,ssRNA,283317128.5,1812974.494
9,ssRNA,280431177.6,1923894.77
10,ssRNA,278038030.1,2036487.242
11,ssRNA,274376456.5,1841788.302
12,ssRNA,273972479.8,1943358.931
13,ssRNA,262614613.6,1862808.978
14,ssRNA,259582059.6,1810368.826
15,ssRNA,254124950.6,1662661.44
0,dsRNAtossRNA,13877272.95,854519.65
1,dsRNAtossRNA,54513107.63,838261.153
2,dsRNAtossRNA,76720113.78,850400.2929
3,dsRNAtossRNA,94543005.47,857320.0557
4,dsRNAtossRNA,106289454.7,954012.2584
5,dsRNAtossRNA,113309427.7,875677.7497
6,dsRNAtossRNA,108659162.4,925620.2148
7,dsRNAtossRNA,112686030,897261.0038
8,dsRNAtossRNA,113788265.9,808395.554
9,dsRNAtossRNA,116058164.3,922002.224
10,dsRNAtossRNA,113655669.8,816420.9467
11,dsRNAtossRNA,111497927.6,868478.1413
12,dsRNAtossRNA,112349374.8,933992.8822
13,dsRNAtossRNA,105005414.6,947386.2376
14,dsRNAtossRNA,102204483.1,916610.1391
15,dsRNAtossRNA,107370240.6,907569.3108
0,ssRNAtodsRNA,11726281.47,846315.9751
1,ssRNAtodsRNA,50619883.18,955169.9948
2,ssRNAtodsRNA,72054143.27,942161.8402
3,ssRNAtodsRNA,84863013.8,934927.8935
4,ssRNAtodsRNA,92106143.71,1089148.085
5,ssRNAtodsRNA,99958101.9,910053.2523
6,ssRNAtodsRNA,97136499.94,975826.5646
7,ssRNAtodsRNA,100550967.1,896801.3198
8,ssRNAtodsRNA,102698955.4,954660.9733
9,ssRNAtodsRNA,103338083.4,1137147.283
10,ssRNAtodsRNA,105639376.6,918612.1995
11,ssRNAtodsRNA,105541880.2,985210.1169
12,ssRNAtodsRNA,102730625.7,977014.7584
13,ssRNAtodsRNA,100877650.4,1172515.338
14,ssRNAtodsRNA,99822887.52,974311.3622
15,ssRNAtodsRNA,92693002.78,962445.2458
