plane,assignment,amp,amp_err
0,dsRNA,220425772.6,1181478.438
1,dsRNA,203113194.3,1119583.178
2,dsRNA,192921926.1,1078806.338
3,dsRNA,179792081.4,1025819.455
4,dsRNA,174579047.5,910647.8542
5,dsRNA,156882242.7,857193.1611
6,dsRNA,144068386.3,778825.0839
7,dsRNA,133165240.4,768392.9182
8,dsRNA,128604598.4,647839.0791
9,dsRNA,118137949.5,790365.201
10,dsRNA,107761900.4,662551.4437
11,dsRNA,88573933.98,531157.1783
0,ssRNA,73086178.65,600733.7526
1,ssRNA,61295592.87,583004.0235
2,ssRNA,54828340.41,536852.4633
3,ssRNA,45919985.79,499859.7996
4,ssRNA,41937942.48,507235.9619
5,ssRNA,34592685.51,524732.4478
6,ssRNA,23905664.67,455392.904
7,ssRNA,19961371.47,414147.8497
8,ssRNA,22895641.06,419430.8794
9,ssRNA,16575171.69,408780.7126
10,ssRNA,14102833.4,383158.5071
11,ssRNA,8050096.981,387154.9403
0,dsRNAtossRNA,1433729.728,339391.395
1,dsRNAtossRNA,9754718.113,381059.504
2,dsRNAtossRNA,18302305.23,336560.0041
3,dsRNAtossRNA,20861083.67,351259.8358
4,dsRNAtossRNA,26178067.75,378204.374
5,dsRNAtossRNA,30764963.31,490651.1565
6,dsRNAtossRNA,35511373.05,451379.0065
7,dsRNAtossRNA,34633517.63,419076.5178
8,dsRNAtossRNA,39010303.2,409013.6746
9,dsRNAtossRNA,37035880.12,438470.0565
10,dsRNAtossRNA,32477548.36,445501.6813
11,dsRNAtossRNA,26051687.63,381137.7102
0,ssRNAtodsRNA,1032425.984,288223.7224
1,ssRNAtodsRNA,7547536.189,366303.101
2,ssRNAtodsRNA,14244982.51,281746.1989
3,ssRNAtodsRNA,21146071.49,344547.2278
4,ssRNAtodsRNA,24524527.15,292316.2658
5,ssRNAtodsRNA,31284852.1,340560.5551
6,ssRNAtodsRNA,29898333.38,360976.2691
7,ssRNAtodsRNA,31267817.78,354075.8778
8,ssRNAtodsRNA,33604463.45,315632.2611
9,ssRNAtodsRNA,30980535.7,348546.0761
10,ssRNAtodsRNA,26521758.77,337918.134
11,ssRNAtodsRNA,21121479.66,373653.4167
